iter	Passed	Remaining
0	237	237640
1	241	120263
2	243	80984
3	247	61552
4	250	49838
5	253	42044
6	257	36487
7	260	32309
8	264	29128
9	267	26487
10	270	24360
11	273	22548
12	276	20969
13	279	19653
14	282	18519
15	285	17527
16	287	16647
17	291	15909
18	294	15212
19	297	14570
20	300	13987
21	302	13450
22	305	12959
23	308	12546
24	311	12133
25	312	11716
26	315	11358
27	317	11030
28	320	10724
29	323	10472
30	326	10206
31	329	9954
32	331	9704
33	333	9480
34	336	9268
35	339	9086
36	341	8900
37	344	8722
38	347	8550
39	349	8389
40	352	8236
41	355	8105
42	357	7965
43	360	7823
44	362	7694
45	365	7571
46	367	7453
47	370	7353
48	373	7243
49	375	7136
50	378	7034
51	380	6936
52	383	6853
53	386	6774
54	389	6689
55	391	6605
56	394	6522
57	396	6442
58	399	6365
59	402	6300
60	404	6230
61	407	6160
62	408	6080
63	411	6014
64	414	5958
65	418	5917
66	421	5863
67	423	5806
68	426	5749
69	428	5695
70	431	5644
71	434	5597
72	436	5546
73	439	5501
74	442	5454
75	444	5408
76	448	5370
77	450	5325
78	453	5281
79	455	5237
80	457	5195
81	460	5154
82	463	5121
83	466	5085
84	468	5047
85	471	5010
86	473	4974
87	476	4937
88	480	4919
89	483	4886
90	485	4854
91	488	4820
92	490	4787
93	493	4755
94	496	4729
95	497	4688
96	500	4659
97	503	4630
98	505	4601
99	508	4573
100	512	4559
101	515	4534
102	517	4509
103	520	4483
104	523	4457
105	526	4437
106	529	4415
107	532	4394
108	534	4371
109	537	4348
110	540	4325
111	545	4321
112	547	4299
113	551	4282
114	554	4266
115	557	4251
116	560	4233
117	563	4213
118	566	4192
119	568	4171
120	571	4153
121	574	4137
122	577	4118
123	580	4098
124	582	4079
125	585	4060
126	588	4046
127	591	4032
128	595	4020
129	598	4007
130	601	3992
131	604	3978
132	607	3958
133	610	3945
134	613	3931
135	616	3915
136	620	3906
137	622	3888
138	625	3872
139	627	3856
140	630	3840
141	633	3825
142	636	3814
143	639	3800
144	642	3785
145	644	3770
146	647	3755
147	651	3749
148	654	3735
149	657	3723
150	659	3709
151	662	3695
152	665	3683
153	668	3671
154	671	3660
155	674	3650
156	677	3639
157	681	3629
158	684	3618
159	687	3607
160	690	3596
161	695	3597
162	698	3586
163	701	3574
164	704	3563
165	706	3551
166	710	3541
167	712	3529
168	715	3518
169	718	3506
170	719	3488
171	722	3476
172	725	3466
173	728	3456
174	730	3445
175	733	3433
176	736	3422
177	738	3410
178	741	3402
179	744	3391
180	746	3379
181	749	3369
182	752	3359
183	757	3357
184	760	3348
185	763	3339
186	765	3327
187	768	3319
188	772	3313
189	775	3304
190	778	3295
191	781	3287
192	784	3279
193	789	3278
194	792	3269
195	794	3260
196	797	3251
197	800	3242
198	803	3235
199	807	3228
200	810	3220
201	813	3215
202	817	3209
203	821	3205
204	824	3199
205	828	3191
206	831	3187
207	835	3182
208	839	3177
209	842	3171
210	847	3167
211	851	3164
212	855	3161
213	859	3156
214	864	3154
215	868	3150
216	872	3147
217	876	3143
218	879	3135
219	882	3128
220	885	3119
221	887	3111
222	892	3109
223	895	3101
224	897	3093
225	900	3084
226	903	3076
227	906	3070
228	910	3064
229	913	3057
230	915	3049
231	918	3040
232	922	3035
233	925	3027
234	928	3020
235	930	3012
236	933	3006
237	937	3000
238	940	2994
239	943	2986
240	946	2979
241	948	2970
242	951	2965
243	956	2962
244	959	2956
